question_id	Response_ID	Annotation_ID	span_type	span_text	relevance_label
Q00034	R000031	5	Ayah	وَتَعَاوَنُوا عَلَى الْبِرِّ وَالتَّقْوَى	0
Q05527	R000032	1	matn	الدين النصيحة	1
Q03296	R000043	1	matn	مَنْ نَسِيَ صَلَاةً ، فَلْيُصَلِّهَا إِذَا ذَكَرَهَا .	1
Q06758	R000058	1	matn	أيام التشريق أيام أكل وشرب وذكر لله	1
Q01112	R000064	1	Ayah	وَقَضَىٰ رَبُّكَ أَلَّا تَعْبُدُوا إِلَّا إِيَّاهُ وَبِالْوَالِدَيْنِ إِحْسَانًا	1
Q01112	R000064	2	matn	الجنة تحت أقدام الأمهات	1
Q01112	R000064	3	matn	لا يحل لمسلم أن يهجر أخاه فوق ثلاث ليال	0
Q04907	R000066	1	Ayah	وَإِنْ خِفْتُمْ أَلَّا تُقْسِطُوا فِي الْيَتَامَىٰ فَانْكِحُوا مَا طَابَ لَكُمْ مِنَ النِّسَاءِ مَثْنَىٰ وَثُلَاثَ وَرُبَاعَ ۖ فَإِنْ خِفْتُمْ أَلَّا تَعْدِلُوا فَوَاحِدَةً أَوْ مَا مَلَكَتْ أَيْمَانُكُمْ ۚ ذَٰلِكَ أَدْنَىٰ أَلَّا تَعُولُوا	0
Q07139	R000079	1	Ayah	مَا كَانَ لِنَبِيٍّ أَنْ يَكُونَ لَهُ أَسْرَى حَتَّى يُثْخِنَ فِي الْأَرْضِ تُرِيدُونَ عَرَضَ الدُّنْيَا وَاللَّهُ يُرِيدُ الْآخِرَةَ وَاللَّهُ عَزِيزٌ حَكِيمٌ	0
Q07139	R000079	2	matn	من بدل دينه فاقتلوه	1
Q02396	R000081	1	matn	لا تفعلوا إلا بأم القرآن، فإنه لا صلاة لمن لم يقرأ بها	0
Q02396	R000081	2	matn	إِنَّمَا الْإِمَامُ لِيُؤْتَمَّ بِهِ ، فَإِذَا كَبَّرَ فَكَبِّرُوا ، وَإِذَا قَرَأَ فَأَنْصِتُوا	1
Q02396	R000081	3	Ayah	فَوَيْلٌ لِلْمُصَلِّينَ الَّذِينَ هُمْ عَنْ صَلَاتِهِمْ سَاهُونَ الَّذِينَ هُمْ يُرَاءُونَ وَيَمْنَعُونَ الْمَاعُونَ	0
Q05457	R000101	1	Ayah	وَلَا يَغْتَب بَّعْضُكُم بَعْضًا أَيُحِبُّ أَحَدُكُمْ أَن يَأْكُلَ لَحْمَ أَخِيهِ مَيْتًا فَكَرِهْتُمُوهُ وَاتَّقُوا اللَّهَ إِنَّ اللَّهَ تَوَّابٌ رَحِيمٌ	1
Q05457	R000101	3	matn	أتدرون ما الغيبة؟ قالوا: الله ورسوله أعلم. قال: ذكرك أخاك بما يكره. قيل: أفرأيت إن كان في أخي ما أقول؟ قال: إن كان فيه ما تقول فقد اغتبته، وإن لم يكن فيه فقد بهته	1
Q03389	R000104	1	matn	الْعُمْرَةُ إِلَى الْعُمْرَةِ كَفَّارَةٌ لِمَا بَيْنَهُمَا ، وَالْحَجُّ الْمَبْرُورُ لَيْسَ لَهُ جَزَاءٌ إِلَّا الْجَنَّةَ .	0
Q03389	R000104	2	Ayah	الْحَجُّ أَشْهُرٌ مَعْلُومَاتٌ فَمَنْ فَرَضَ فِيهِنَّ الْحَجَّ فَلَا رَفَثَ وَلَا فُسُوقَ وَلَا جِدَالَ فِي الْحَجِّ	0
Q04615	R000118	1	matn	إنما الأعمال بالنيات، وإنما لكل امرئ ما نوى	0
Q04615	R000118	2	Ayah	وَتَعَاوَنُوا عَلَى الْبِرِّ وَالتَّقْوَىٰ وَلَا تَعَاوَنُوا عَلَى الْإِثْمِ وَالْعُدْوَانِ	0
Q00848	R000121	1	Ayah	فِيهِ آيَاتٌ بَيِّنَاتٌ مَقَامُ إِبْرَاهِيمَ ۖ وَمَنْ دَخَلَهُ كَانَ آمِنًا ۗ وَلِلَّهِ عَلَى النَّاسِ حِجُّ الْبَيْتِ مَنِ اسْتَطَاعَ إِلَيْهِ سَبِيلًا ۚ وَمَنْ كَفَرَ فَإِنَّ اللَّهَ غَنِيٌّ عَنِ الْعَالَمِينَ	1
Q00848	R000121	4	Ayah	فَمَنْ تَعَجَّلَ فِي يَوْمَيْنِ فَلَا إِثْمَ عَلَيْهِ وَمَنْ تَأَخَّرَ فَلَا إِثْمَ عَلَيْهِ لِمَنِ اتَّقَى وَاتَّقُوا اللَّهَ وَاعْلَمُوا أَنَّكُمْ إِلَيْهِ تُحْشَرُونَ	0
Q08271	R000125	1	Ayah	إن الذين فرقوا دينهم وكانوا شيعا لست منهم في شيء إنما أمرهم إلى الله ثم ينبئهم بما كانوا يفعلون	0
Q08271	R000125	2	Ayah	إن الذين توفاهم الملائكة ظالمي أنفسهم قالوا فيم كنتم قالوا كنا مستضعفين في الأرض قالوا ألم تكن أرض الله واسعة فتهاجروا فيها	0
Q08271	R000125	3	matn	لَا تَزَوَّجُوا النِّسَاءَ لِحُسْنِهِنَّ ، فَعَسَى حُسْنُهُنَّ أَنْ يُرْدِيَهُنَّ ، وَلَا تَزَوَّجُوهُنَّ لِأَمْوَالِهِنَّ ، فَعَسَى أَمْوَالُهُنَّ أَنْ تُطْغِيَهُنَّ ، وَلَكِنْ تَزَوَّجُوهُنَّ عَلَى الدِّينِ ، وَلَأَمَةٌ خَرْمَاءُ سَوْدَاءُ ذَاتُ دِينٍ أَفْضَلُ	1
Q05455	R000135	1	Ayah	لَا إِكْرَاهَ فِي الدِّينِ ۖ قَدْ تَبَيَّنَ الرُّشْدُ مِنَ الْغَيِّ ۚ فَمَنْ يَكْفُرْ بِالطَّاغُوتِ وَيُؤْمِنْ بِاللَّهِ فَقَدِ اسْتَمْسَكَ بِالْعُرْوَةِ الْوُثْقَىٰ لَا انْفِصَامَ لَهَا ۗ وَاللَّهُ سَمِيعٌ عَلِيمٌ	0
Q05455	R000135	2	matn	ذَرُونِي مَا تَرَكْتُكُمْ ، فَإِنَّمَا هَلَكَ مَنْ كَانَ قَبْلَكُمْ بِسُؤَالِهِمْ وَاخْتِلَافِهِمْ عَلَى أَنْبِيَائِهِمْ ، فَإِذَا أَمَرْتُكُمْ بِشَيْءٍ فَخُذُوا مِنْهُ مَا اسْتَطَعْتُمْ ، وَإِذَا نَهَيْتُكُمْ عَنْ شَيْءٍ فَانْتَهُوا	0
Q07002	R000146	1	Ayah	يَا أَيُّهَا الَّذِينَ آمَنُوا إِذَا قِيلَ لَكُمْ تَفَسَّحُوا فِي الْمَجَالِسِ فَافْسَحُوا يَفْسَحِ اللَّهُ لَكُمْ	0
Q07002	R000146	2	matn	إذا قلت لصاحبك: أنصت، يوم الجمعة، والإمام يخطب، فقد لغوت	0
Q07002	R000146	3	Ayah	يَا أَيُّهَا الَّذِينَ آمَنُوا كُونُوا أَنْصَارَ اللَّهِ كَمَا قَالَ عِيسَى ابْنُ مَرْيَمَ لِلْحَوَارِيِّينَ مَنْ أَنْصَارِي إِلَى اللَّهِ قَالَ الْحَوَارِيُّونَ نَحْنُ أَنْصَارُ اللَّهِ فَآمَنَت طَائِفَةٌ مِّن بَنِي إِسْرَائِيلَ وَكَفَرَت طَائِفَةٌ فَأَيَّدْنَا الَّذِينَ آمَنُوا عَلَى عَدُوِّهِمْ فَأَصْبَحُوا ظَاهِرِينَ	0
Q07002	R000146	4	matn	أن النبي صلى الله عليه وسلم كان إذا جلس في الصلاة وضع كفه اليمنى على فخذه اليمنى، وقبض أصابعه كلها، وأشار بإصبعه التي تلي الإبهام، ووضع كفه اليسرى على فخذه اليسرى	1
Q02199	R000150	1	Ayah	وَأَوْفُوا بِالْعَهْدِ إِنَّ الْعَهْدَ كَانَ مَسْؤُولاً	1
Q02199	R000150	2	matn	المسلم من سلم المسلمون من لسانه ويده	0
Q02199	R000150	5	Ayah	وَإِنِّي لَغَفَّارٌ لِمَنْ تَابَ وَآمَنَ وَعَمِلَ صَالِحًا ثُمَّ اهْتَدَى	0
Q00663	R000158	1	Ayah	وَأَحَلَّ اللَّهُ الْبَيْعَ وَحَرَّمَ الرِّبَا	1
Q00663	R000158	2	matn	لَا يَحِلُّ سَلَفٌ وَبَيْعٌ ، وَلَا شَرْطَانِ فِي بَيْعٍ ، وَلَا رِبْحُ مَا لَمْ يُضْمَنْ ، وَلَا بَيْعُ مَا لَيْسَ عِنْدَكَ .	1
Q02335	R000160	2	matn	من خبب زوجة امرئ أو مملوكه فليس منا	1
Q00199	R000163	1	Ayah	يَا أَيُّهَا الَّذِينَ آمَنُوا لَا تَأْكُلُوا الرِّبَا أَضْعَافًا مُضَاعَفَةً ۖ وَاتَّقُوا اللَّهَ لَعَلَّكُمْ تُفْلِحُونَ	1
Q00199	R000163	2	Ayah	الَّذِينَ يَأْكُلُونَ الرِّبَا لَا يَقُومُونَ إِلَّا كَمَا يَقُومُ الَّذِي يَتَخَبَّطُهُ الشَّيْطَانُ مِنَ الْمَسِّ ۚ ذَٰلِكَ بِأَنَّهُمْ قَالُوا إِنَّمَا الْبَيْعُ مِثْلُ الرِّبَا ۗ وَأَحَلَّ اللَّهُ الْبَيْعَ وَحَرَّمَ الرِّبَا ۚ فَمَنْ جَاءَهُ مَوْعِظَةٌ مِنْ رَبِّهِ فَانْتَهَىٰ فَلَهُ مَا سَلَفَ وَأَمْرُهُ إِلَى اللَّهِ ۖ وَمَنْ عَادَ فَأُولَـٰئِكَ أَصْحَابُ النَّارِ ۖ هُمْ فِيهَا خَالِدُونَ	1
Q00199	R000163	3	matn	لَعَنَ رَسُولُ اللهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ آكِلَ الرِّبَا وَمُؤْكِلَهُ ، وَكَاتِبَهُ وَشَاهِدَيْهِ ، وَقَالَ : هُمْ سَوَاءٌ	1
Q07384	R000168	1	Ayah	فَاسْأَلُوا أَهْلَ الذِّكْرِ إِنْ كُنْتُمْ لَا تَعْلَمُونَ	1
Q07384	R000168	2	matn	من يرد الله به خيرًا يفقهه في الدين	1
Q08149	R000171	1	Ayah	وَلَا تُصَلِّ عَلَىٰ أَحَدٍ مِنْهُمْ مَاتَ أَبَدًا وَلَا تَقُمْ عَلَىٰ قَبْرِهِ ۖ إِنَّهُمْ كَفَرُوا بِاللَّهِ وَرَسُولِهِ وَمَاتُوا وَهُمْ فَاسِقُونَ	1
Q08149	R000171	2	Ayah	وَلَا تُصَلِّ عَلَى أَحَدٍ مِنْهُمْ مَاتَ أَبَدًا وَلَا تَقُمْ عَلَى قَبْرِهِ	1
Q08149	R000171	3	matn	لعن الله اليهود والنصارى، اتخذوا قبور أنبيائهم مساجد	0
Q05635	R000173	1	matn	قَدِمْتُ الْمَدِينَةَ فَقُلْتُ: اللَّهُمَّ يَسِّرْ لِي جَلِيسًا صَالِحًا ، قَالَ: فَجَلَسْتُ إِلَى أَبِي هُرَيْرَةَ فَقُلْتُ: إِنِّي سَأَلْتُ اللهَ أَنْ يَرْزُقَنِي جَلِيسًا صَالِحًا ، فَحَدِّثْنِي بِحَدِيثٍ سَمِعْتَهُ مِنْ رَسُولِ اللهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ لَعَلَّ اللهَ أَنْ يَنْفَعَنِي بِهِ؟ فَقَال: سَمِعْتُ رَسُولَ اللهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ يَقُولُ: إِنَّ أَوَّلَ مَا يُحَاسَبُ بِهِ الْعَبْدُ يَوْمَ الْقِيَامَةِ مِنْ عَمَلِهِ صَلَاتُهُ ، فَإِنْ صَلَحَتْ فَقَدْ أَفْلَحَ وَأَنْجَحَ ، وَإِنْ فَسَدَتْ فَقَدْ خَابَ وَخَسِرَ ، فَإِنِ انْتَقَصَ مِنْ فَرِيضَتِهِ شَيْءٌ قَالَ الرَّبُّ تَبَارَكَ وَتَعَالَى: انْظُرُوا هَلْ لِعَبْدِي مِنْ تَطَوُّعٍ فَيُكَمَّلَ بِهَا مَا انْتَقَصَ مِنَ الْفَرِيضَةِ ، ثُمَّ يَكُونُ سَائِرُ عَمَلِهِ عَلَى ذَلِكَ	1
Q07689	R000179	2	matn	من رأى منكم منكراً فليغيره بيده، فإن لم يستطع فبلسانه، فإن لم يستطع فبقلبه، وذلك أضعف الإيمان	1
Q01174	R000197	1	matn	كان يصيبنا ذلك، فنؤمر بقضاء الصوم، ولا نؤمر بقضاء الصلاة	1
Q01174	R000197	2	Ayah	فَعِدَّةٌ مِنْ أَيَّامٍ أُخَرَ	1
Q04714	R000203	2	Ayah	فَلَا وَرَبِّكَ لَا يُؤْمِنُونَ حَتَّى يُحَكِّمُوكَ فِيمَا شَجَرَ بَيْنَهُمْ ثُمَّ لَا يَجِدُوا فِي أَنْفُسِهِمْ حَرَجًا مِمَّا قَضَيْتَ وَيُسَلِّمُوا تَسْلِيمًا	1
Q04714	R000203	3	Ayah	إِنَّ اللَّهَ يَأْمُرُ بِالْعَدْلِ وَالْإِحْسَانِ	1
Q04714	R000203	5	matn	المسلمون على شروطهم إلا شرطًا حرم حلالًا أو أحل حرامًا	1
Q04714	R000203	6	Ayah	فَاسْأَلُوا أَهْلَ الذِّكْرِ إِنْ كُنْتُمْ لَا تَعْلَمُونَ	1
Q04299	R000210	1	Ayah	وَلَمَّا وَقَعَ عَلَيْهِمُ الرِّجْزُ قَالُوا يَا مُوسَى ادْعُ لَنَا رَبَّكَ بِمَا عَهِدَ عِنْدَكَ ۖ لَئِنْ كَشَفْتَ عَنَّا الرِّجْزَ لَنُؤْمِنَنَّ لَكَ وَلَنُرْسِلَنَّ مَعَكَ بَنِي إِسْرَائِيلَ	1
Q01112	R000219	1	Ayah	وَقَضَىٰ رَبُّكَ أَلَّا تَعْبُدُوا إِلَّا إِيَّاهُ وَبِالْوَالِدَيْنِ إِحْسَانًا	1
Q01112	R000219	2	matn	الوالد أوسط أبواب الجنة، فإن شئت فأضع ذلك الباب أو احفظه	1
Q06701	R000231	1	Ayah	فِي بِضْعِ سِنِينَ ۗ لِلَّهِ الْأَمْرُ مِنْ قَبْلُ وَمِنْ بَعْدُ ۚ وَيَوْمَئِذٍ يَفْرَحُ الْمُؤْمِنُونَ	0
Q06701	R000231	2	Ayah	إِنَّ نَاشِئَةَ ٱلَّيۡلِ هِيَ أَشَدُّ وَطۡـٔٗا وَأَقۡوَمُ قِيلٗا	1
Q06701	R000231	3	Ayah	إِنَّا أَنزَلۡنَٰهُ فِي لَيۡلَةِ ٱلۡقَدۡرِ	0
Q06701	R000231	4	Ayah	نَزَلَ بِهِ الرُّوحُ الْأَمِينُ عَلَىٰ قَلْبِكَ لِتَكُونَ مِنَ الْمُنْذِرِينَ	0
Q06701	R000231	5	matn	إن كان رسول الله صلى الله عليه وسلم ليَدَعُ العمل، وهو يُحِبُّ أن يعمل به خَشْيَةَ أن يعمل به الناس، فَيُفْرَضَ عليهم	0
Q06701	R000231	6	matn	"لقد كان رسول الله صلى الله عليه وسلم يقوم من الليل حتى تَتَفَطَّرَ قَدَمَاهُ. فقلت له: لِمَ تَصْنَعُ هذا يا رسول الله، وقد غفر الله لك ما تقدم من ذنبك وما تأخر؟ قال: ""أفلا أحب أن أكونَ عبدًا شَكُورًا"	0
Q02865	R000238	1	Ayah	إِنَّمَا الصَّدَقَاتُ لِلْفُقَرَاءِ وَالْمَسَاكِينِ وَالْعَامِلِينَ عَلَيْهَا وَالْمُؤَلَّفَةِ قُلُوبُهُمْ وَفِي الرِّقَابِ وَالْغَارِمِينَ وَفِي سَبِيلِ اللَّهِ وَابْنِ السَّبِيلِ فَرِيضَةً مِّنَ اللَّهِ وَاللَّهُ عَلِيمٌ حَكِيمٌ	1
Q02865	R000238	2	matn	تؤخذ من أغنيائهم فترد على فقرائهم	1
Q02865	R000238	3	Ayah	مَا كَانَ لِلْمُشْرِكِينَ أَن يَعْمُرُوا مَسَاجِدَ اللَّهِ شَاهِدِينَ عَلَى أَنفُسِهِم بِالْكُفْرِ أُولَئِكَ حَبِطَتْ أَعْمَالُهُمْ وَفِي النَّارِ هُمْ خَالِدُونَ	0
Q03192	R000242	1	matn	لا تجلسوا على القبور ولا تصلوا إليها	1
Q03192	R000242	2	Ayah	إِنَّ اللَّهَ لَا يَغْفِرُ أَنْ يُشْرَكَ بِهِ وَيَغْفِرُ مَا دُونَ ذَلِكَ لِمَنْ يَشَاءُ وَمَنْ يُشْرِكْ بِاللَّهِ فَقَدِ افْتَرَى إِثْمًا عَظِيمًا	1
Q03192	R000242	3	matn	لعن الله اليهود والنصارى اتخذوا قبور أنبيائهم مساجد	1
Q03192	R000242	4	matn	لَعَنَ رَسُولُ اللهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ زَائِرَاتِ الْقُبُورِ ، وَالْمُتَّخِذِينَ عَلَيْهَا الْمَسَاجِدَ وَالسُّرُجَ .	1
Q05192	R000254	1	Ayah	إِنَّ الَّذِينَ يُحِبُّونَ أَنْ تَشِيعَ الْفَاحِشَةُ فِي الَّذِينَ آمَنُوا لَهُمْ عَذَابٌ أَلِيمٌ فِي الدُّنْيَا وَالْآخِرَةِ	1
Q05192	R000254	2	matn	الدِّينُ النَّصِيحَةُ ، قُلْنَا : لِمَنْ ؟ قَالَ : لِلهِ وَلِكِتَابِهِ وَلِرَسُولِهِ وَلِأَئِمَّةِ الْمُسْلِمِينَ وَعَامَّتِهِمْ .	0
Q01627	R000261	1	Ayah	يَا أَيُّهَا الَّذِينَ آمَنُوا إِذَا تَدَايَنْتُمْ بِدَيْنٍ إِلَىٰ أَجَلٍ مُسَمًّى فَاكْتُبُوهُ ۚ وَلْيَكْتُبْ بَيْنَكُمْ كَاتِبٌ بِالْعَدْلِ ۚ وَلَا يَأْبَ كَاتِبٌ أَنْ يَكْتُبَ كَمَا عَلَّمَهُ اللَّهُ ۚ فَلْيَكْتُبْ وَلْيُمْلِلِ الَّذِي عَلَيْهِ الْحَقُّ وَلْيَتَّقِ اللَّهَ رَبَّهُ وَلَا يَبْخَسْ مِنْهُ شَيْئًا ۚ فَإِنْ كَانَ الَّذِي عَلَيْهِ الْحَقُّ سَفِيهًا أَوْ ضَعِيفًا أَوْ لَا يَسْتَطِيعُ أَنْ يُمِلَّ هُوَ فَلْيُمْلِلْ وَلِيُّهُ بِالْعَدْلِ ۚ وَاسْتَشْهِدُوا شَهِيدَيْنِ مِنْ رِجَالِكُمْ ۖ فَإِنْ لَمْ يَكُونَا رَجُلَيْنِ فَرَجُلٌ وَامْرَأَتَانِ مِمَّنْ تَرْضَوْنَ مِنَ الشُّهَدَاءِ أَنْ تَضِلَّ إِحْدَاهُمَا فَتُذَكِّرَ إِحْدَاهُمَا الْأُخْرَىٰ ۚ وَلَا يَأْبَ الشُّهَدَاءُ إِذَا مَا دُعُوا ۚ وَلَا تَسْأَمُوا أَنْ تَكْتُبُوهُ صَغِيرًا أَوْ كَبِيرًا إِلَىٰ أَجَلِهِ ۚ ذَٰلِكُمْ أَقْسَطُ عِنْدَ اللَّهِ وَأَقْوَمُ لِلشَّهَادَةِ وَأَدْنَىٰ أَلَّا تَرْتَابُوا ۖ إِلَّا أَنْ تَكُونَ تِجَارَةً حَاضِرَةً تُدِيرُونَهَا بَيْنَكُمْ فَلَيْسَ عَلَيْكُمْ جُنَاحٌ أَلَّا تَكْتُبُوهَا ۗ وَأَشْهِدُوا إِذَا تَبَايَعْتُمْ ۚ وَلَا يُضَارَّ كَاتِبٌ وَلَا شَهِيدٌ ۚ وَإِنْ تَفْعَلُوا فَإِنَّهُ فُسُوقٌ بِكُمْ ۗ وَاتَّقُوا اللَّهَ ۖ وَيُعَلِّمُكُمُ اللَّهُ ۗ وَاللَّهُ بِكُلِّ شَيْءٍ عَلِيمٌ	0
Q06708	R000278	1	Ayah	إِنَّ هَذَا الْقُرْآنَ يَهْدِي لِلَّتِي هِيَ أَقْوَمُ	0
Q06708	R000278	2	Ayah	وَبِالْحَقِّ أَنْزَلْنَاهُ وَبِالْحَقِّ نَزَلَ ۗ وَمَا أَرْسَلْنَاكَ إِلَّا مُبَشِّرًا وَنَذِيرًا	0
Q06708	R000278	3	matn	إِنِّي تَارِكٌ فِيكُمْ مَا إِنْ تَمَسَّكْتُمْ بِهِ لَنْ تَضِلُّوا بَعْدِي ، أَحَدُهُمَا أَعْظَمُ مِنَ الْآخَرِ؛ كِتَابُ اللهِ حَبْلٌ مَمْدُودٌ مِنَ السَّمَاءِ إِلَى الْأَرْضِ ، وَعِتْرَتِي أَهْلُ بَيْتِي ، وَلَنْ يَتَفَرَّقَا حَتَّى يَرِدَا عَلَيَّ الْحَوْضَ ، فَانْظُرُوا كَيْفَ تَخْلُفُونِي فِيهِمَا	1
Q06708	R000278	4	Ayah	مَنْ يُطِعِ الرَّسُولَ فَقَدْ أَطَاعَ اللَّهَ	1
Q06708	R000278	5	Ayah	وَاتَّقُوا اللَّهَ لَعَلَّكُمْ تُرْحَمُونَ	0
Q04627	R000284	1	Ayah	وَكُلُوا وَاشْرَبُوا وَلَا تُسْرِفُوا إِنَّهُ لَا يُحِبُّ الْمُسْرِفِينَ	1
Q04627	R000284	2	matn	إن الله يحب أن تؤتى رخصه كما يكره أن تؤتى معصيته	0
Q04627	R000284	3	matn	من كان يؤمن بالله واليوم الآخر فليقل خيرا أو ليصمت	0
Q06708	R000291	1	Ayah	وَأَنْزَلْنَا إِلَيْكَ الْكِتَابَ بِالْحَقِّ مُصَدِّقًا لِّمَا بَيْنَ يَدَيْهِ مِنَ الْكِتَابِ وَمُهَيْمِنًا عَلَيْهِ	1
Q06708	R000291	2	Ayah	وَمَا آتَاكُمُ الرَّسُولُ فَخُذُوهُ وَمَا نَهَاكُمْ عَنْهُ فَانْتَهُوا	1
Q05129	R000292	1	Ayah	وَإِذْ بَوَّأْنَا لِإِبْرَاهِيمَ مَكَانَ الْبَيْتِ أَنْ لَا تُشْرِكْ بِي شَيْئًا وَطَهِّرْ بَيْتِيَ لِلطَّائِفِينَ وَالْقَائِمِينَ وَالرُّكَّعِ السُّجُودِ	1
Q05129	R000292	2	matn	إنما بُنيت المساجد لما بُنيت له	1
Q04215	R000315	1	Ayah	وَلَهُنَّ مِثْلُ الَّذِي عَلَيْهِنَّ بِالْمَعْرُوفِ	1
Q04538	R000319	1	matn	من أخذ أموال الناس يريد أداءها أدى الله عنه، ومن أخذ يريد إتلافها أتلفه الله	0
Q07512	R000321	1	Ayah	يَا أَيُّهَا النَّاسُ كُلُوا مِمَّا فِي الْأَرْضِ حَلَالًا طَيِّبًا وَلَا تَتَّبِعُوا خُطُوَاتِ الشَّيْطَانِ إِنَّهُ لَكُمْ عَدُوٌّ مُّبِينٌ	1
Q07512	R000321	2	Ayah	وَلَا تَقْرَبُوا الزِّنَى إِنَّهُ كَانَ فَاحِشَةً وَسَاءَ سَبِيلًا	1
Q07512	R000321	3	matn	الْحَلَالُ بَيِّنٌ وَالْحَرَامُ بَيِّنٌ ، وَبَيْنَهُمَا مُشَبَّهَاتٌ ، لَا يَعْلَمُهَا كَثِيرٌ مِنَ النَّاسِ ، فَمَنِ اتَّقَى الْمُشَبَّهَاتِ اسْتَبْرَأَ لِدِينِهِ وَعِرْضِهِ ، وَمَنْ وَقَعَ فِي الشُّبُهَاتِ كَرَاعٍ يَرْعَى حَوْلَ الْحِمَى يُوشِكُ أَنْ يُوَاقِعَهُ ، أَلَا وَإِنَّ لِكُلِّ مَلِكٍ حِمًى ، أَلَا إِنَّ حِمَى اللهِ فِي أَرْضِهِ مَحَارِمُهُ ، أَلَا وَإِنَّ فِي الْجَسَدِ مُضْغَةً إِذَا صَلَحَتْ صَلَحَ الْجَسَدُ كُلُّهُ ، وَإِذَا فَسَدَتْ فَسَدَ الْجَسَدُ كُلُّهُ ، أَلَا وَهِيَ الْقَلْبُ	1
Q07512	R000321	5	matn	الْحَلَالُ بَيِّنٌ ، وَالْحَرَامُ بَيِّنٌ ، وَبَيْنَهُمَا مُشْتَبِهَاتٌ لَا يَعْلَمُهَا كَثِيرٌ مِنَ النَّاسِ ، فَمَنِ اتَّقَى الشُّبُهَاتِ اسْتَبْرَأَ لِدِينِهِ وَعِرْضِهِ ، وَمَنْ وَقَعَ فِي الشُّبُهَاتِ وَقَعَ فِي الْحَرَامِ ، كَالرَّاعِي حَوْلَ الْحِمَى ، يُوشِكُ أَنْ يَرْتَعَ فِيهِ ، أَلَا وَإِنَّ لِكُلِّ مَلِكٍ حِمَى ، أَلَا وَإِنَّ حِمَى اللهِ مَحَارِمُهُ ، أَلَا وَإِنَّ فِي الْجَسَدِ مُضْغَةً ، إِذَا صَلَحَتْ صَلَحَ الْجَسَدُ كُلُّهُ ، وَإِذَا فَسَدَتْ فَسَدَ الْجَسَدُ كُلُّهُ ، أَلَا وَهِيَ الْقَلْبُ	1
Q07512	R000321	6	matn	دع ما يريبك إلى ما لا يريبك	1
Q07512	R000321	7	Ayah	يَا أَيُّهَا الَّذِينَ آمَنُوا أَطِيعُوا اللَّهَ وَأَطِيعُوا الرَّسُولَ وَأُولِي الْأَمْرِ مِنكُمْ فَإِن تَنَازَعْتُمْ فِي شَيْءٍ فَرُدُّوهُ إِلَى اللَّهِ وَالرَّسُولِ إِن كُنتُمْ تُؤْمِنُونَ بِاللَّهِ وَالْيَوْمِ الْآخِرِ ذَلِكَ خَيْرٌ وَأَحْسَنُ تَأْوِيلًا	0
Q07512	R000321	8	Ayah	قُلْ إِنِّي أُمِرْتُ أَنْ أَعْبُدَ اللَّهَ مُخْلِصًا لَهُ الدِّينَ	0
