Response_ID	Annotation_ID	Segment_Type	Label
R000086	2	matn	incorrect
R000087	1	matn	incorrect
R000087	2	matn	correct
R000087	2	isnad	incorrect
R000087	2	claimed_source	incorrect
R000087	3	matn	incorrect
R000087	4	Ayah	correct
R000087	4	claimed_source	correct
R000088	1	Ayah	incorrect
R000088	2	matn	incorrect
R000091	1	Ayah	incorrect
R000091	2	matn	incorrect
R000093	1	Ayah	incorrect
R000093	2	Ayah	incorrect
R000093	3	Ayah	incorrect
R000093	4	matn	incorrect
R000093	5	matn	incorrect
R000093	6	matn	incorrect
R000093	7	matn	incorrect
R000094	1	Ayah	incorrect
R000094	2	matn	incorrect
R000095	1	Ayah	incorrect
R000095	2	matn	incorrect
R000101	1	Ayah	correct
R000101	1	claimed_source	correct
R000101	2	matn	incorrect
R000101	3	matn	correct
R000101	3	isnad	correct
R000101	3	claimed_source	incorrect
R000101	4	matn	incorrect
R000102	1	Ayah	incorrect
R000102	2	Ayah	incorrect
R000102	3	Ayah	incorrect
R000102	4	Ayah	incorrect
R000102	5	Ayah	incorrect
R000102	6	Ayah	incorrect
R000102	7	Ayah	incorrect
R000104	1	matn	incorrect
R000104	2	Ayah	correct
R000104	2	claimed_source	incorrect
R000105	1	Ayah	incorrect
R000105	2	Ayah	incorrect
R000105	3	matn	incorrect
R000105	4	matn	incorrect
R000106	1	Ayah	incorrect
R000106	2	Ayah	incorrect
R000106	3	matn	incorrect
R000106	4	Ayah	incorrect
R000106	5	matn	incorrect
R000107	1	Ayah	incorrect
R000107	2	matn	incorrect
R000107	3	matn	incorrect
R000107	4	Ayah	incorrect
R000111	1	matn	incorrect
R000111	2	Ayah	incorrect
R000111	3	Ayah	incorrect
R000111	3	claimed_source	correct
R000111	4	Ayah	correct
R000111	4	claimed_source	correct
R000111	5	matn	incorrect
R000111	6	matn	incorrect
R000111	7	matn	incorrect
R000112	1	Ayah	incorrect
R000112	2	matn	incorrect
R000113	1	Ayah	incorrect
R000113	2	Ayah	incorrect
R000113	3	Ayah	incorrect
R000113	4	Ayah	incorrect
R000113	5	matn	incorrect
R000113	6	matn	incorrect
R000113	7	matn	incorrect
R000114	1	matn	incorrect
R000115	1	matn	incorrect
R000115	2	Ayah	incorrect
R000117	1	Ayah	incorrect
R000117	2	Ayah	incorrect
R000118	1	matn	correct
R000118	1	claimed_source	correct
R000118	2	Ayah	correct
R000118	2	claimed_source	correct
R000119	1	matn	incorrect
R000119	2	Ayah	incorrect
R000119	3	Ayah	incorrect
R000119	4	matn	incorrect
R000120	1	Ayah	incorrect
R000120	1	claimed_source	incorrect
R000120	2	matn	incorrect
R000120	3	Ayah	incorrect
R000120	4	matn	incorrect
R000120	5	matn	incorrect
R000121	1	Ayah	incorrect
R000121	1	claimed_source	correct
R000121	2	matn	correct
R000121	2	isnad	incorrect
R000121	2	claimed_source	correct
R000121	3	matn	correct
R000121	3	claimed_source	correct
R000121	4	Ayah	correct
R000121	4	claimed_source	incorrect
R000122	1	Ayah	incorrect
R000122	1	claimed_source	incorrect
R000122	2	Ayah	correct
R000122	2	claimed_source	correct
R000122	3	matn	incorrect
R000122	4	matn	incorrect
R000123	1	Ayah	correct
R000123	1	claimed_source	correct
R000123	2	matn	incorrect
R000124	1	Ayah	correct
R000124	1	claimed_source	incorrect
R000124	2	Ayah	correct
R000124	2	claimed_source	correct
R000124	3	matn	incorrect
R000124	4	matn	incorrect
R000125	1	Ayah	correct
R000125	1	claimed_source	correct
R000125	2	Ayah	correct
R000125	2	claimed_source	correct
R000125	3	matn	incorrect
R000125	4	matn	incorrect
R000127	1	Ayah	correct
R000127	1	claimed_source	correct
R000128	1	Ayah	incorrect
R000128	1	claimed_source	correct
R000128	2	matn	incorrect
R000131	1	Ayah	incorrect
R000131	1	claimed_source	correct
R000131	2	matn	incorrect
R000132	1	Ayah	incorrect
R000132	2	matn	incorrect
R000133	1	matn	incorrect
R000135	1	Ayah	incorrect
R000135	2	matn	incorrect
R000136	1	matn	incorrect
R000136	2	Ayah	correct
R000136	2	claimed_source	correct
R000136	3	matn	correct
R000136	3	claimed_source	correct
R000136	4	matn	correct
R000136	4	claimed_source	correct
R000136	5	matn	correct
R000136	5	isnad	incorrect
R000136	5	claimed_source	correct
R000138	1	Ayah	incorrect
R000138	2	matn	incorrect
R000140	1	Ayah	incorrect
R000140	2	matn	incorrect
R000142	1	Ayah	incorrect
R000142	1	claimed_source	incorrect
R000142	2	Ayah	incorrect
R000142	2	claimed_source	incorrect
R000142	3	matn	incorrect
R000142	4	Ayah	incorrect
R000142	4	claimed_source	incorrect
R000143	1	matn	incorrect
R000143	2	matn	incorrect
R000143	3	Ayah	correct
R000143	3	claimed_source	correct
R000144	1	Ayah	incorrect
R000144	2	matn	incorrect
R000144	3	matn	incorrect
R000145	1	Ayah	incorrect
R000145	2	Ayah	incorrect
R000145	3	Ayah	incorrect
R000145	4	Ayah	incorrect
R000145	5	Ayah	incorrect
R000145	6	Ayah	incorrect
R000145	7	matn	incorrect
R000145	8	matn	incorrect
R000146	1	Ayah	correct
R000146	1	claimed_source	incorrect
R000146	2	matn	correct
R000146	2	isnad	correct
R000146	2	claimed_source	correct
R000146	3	Ayah	correct
R000146	3	claimed_source	correct
R000146	4	matn	correct
R000146	4	isnad	incorrect
R000146	4	claimed_source	correct
R000147	1	Ayah	incorrect
R000147	2	matn	incorrect
R000149	1	Ayah	incorrect
R000149	1	claimed_source	incorrect
R000149	2	Ayah	correct
R000149	2	claimed_source	correct
R000149	3	Ayah	incorrect
R000149	3	claimed_source	correct
R000149	4	Ayah	incorrect
R000149	5	matn	incorrect
R000149	6	matn	incorrect
R000149	7	matn	incorrect
R000150	1	Ayah	correct
R000150	1	claimed_source	incorrect
R000150	2	matn	correct
R000150	2	claimed_source	correct
R000150	3	Ayah	correct
R000150	3	claimed_source	correct
R000150	4	matn	incorrect
R000150	5	Ayah	correct
R000150	5	claimed_source	incorrect
R000151	1	Ayah	correct
R000151	1	claimed_source	incorrect
R000151	2	matn	incorrect
R000152	1	Ayah	incorrect
R000152	2	Ayah	incorrect
R000152	3	Ayah	incorrect
R000152	4	matn	incorrect
R000155	1	matn	incorrect
R000155	2	Ayah	incorrect
R000156	1	Ayah	incorrect
R000156	2	Ayah	correct
R000156	2	claimed_source	incorrect
R000157	1	Ayah	incorrect
R000157	2	Ayah	incorrect
R000157	2	claimed_source	correct
R000157	3	matn	incorrect
R000158	1	Ayah	correct
R000158	1	claimed_source	correct
R000158	2	matn	incorrect
R000159	1	Ayah	incorrect
R000159	2	matn	incorrect
R000160	1	Ayah	incorrect
R000160	1	claimed_source	correct
R000160	2	matn	correct
R000160	2	isnad	correct
R000160	2	claimed_source	correct
R000161	1	Ayah	incorrect
R000161	2	matn	incorrect
R000162	1	Ayah	incorrect
R000162	2	Ayah	incorrect
R000162	3	Ayah	incorrect
R000162	3	claimed_source	incorrect
R000162	4	matn	incorrect
R000162	5	Ayah	incorrect
R000162	6	matn	incorrect
R000163	1	Ayah	incorrect
R000163	2	Ayah	incorrect
R000163	3	matn	incorrect
R000164	1	matn	incorrect
R000164	2	Ayah	incorrect
R000164	3	matn	incorrect
R000166	1	Ayah	correct
R000166	1	claimed_source	correct
R000166	2	matn	correct
R000166	2	claimed_source	correct
R000168	1	Ayah	correct
R000168	1	claimed_source	correct
R000168	2	matn	correct
R000168	2	claimed_source	correct
R000169	1	matn	incorrect
R000170	1	matn	incorrect
R000170	2	matn	incorrect
R000170	3	matn	incorrect
R000171	1	Ayah	incorrect
R000171	1	claimed_source	correct
R000171	2	Ayah	correct
R000171	2	claimed_source	correct
R000171	3	matn	correct
R000171	3	isnad	correct
R000171	3	claimed_source	correct
R000172	1	Ayah	incorrect
R000172	2	matn	incorrect
R000173	1	matn	incorrect
R000175	1	matn	incorrect
R000175	2	matn	incorrect
R000175	3	matn	incorrect
R000175	4	Ayah	incorrect
R000176	1	Ayah	incorrect
R000178	1	matn	incorrect
R000178	2	matn	incorrect
R000179	1	Ayah	correct
R000179	1	claimed_source	incorrect
R000179	2	matn	correct
R000179	2	claimed_source	correct
R000182	1	Ayah	incorrect
R000182	2	Ayah	incorrect
R000182	3	matn	incorrect
R000182	4	matn	incorrect
R000183	1	Ayah	incorrect
R000183	2	matn	incorrect
R000183	3	matn	incorrect
R000184	1	Ayah	incorrect
R000184	2	matn	incorrect
R000185	1	Ayah	incorrect
R000185	2	matn	incorrect
R000189	1	Ayah	incorrect
R000189	1	claimed_source	incorrect
R000189	2	matn	incorrect
R000190	1	Ayah	correct
R000190	1	claimed_source	incorrect
R000190	2	Ayah	incorrect
R000190	3	matn	incorrect
R000190	4	matn	incorrect
R000192	1	Ayah	incorrect
R000192	2	Ayah	incorrect
R000192	3	matn	incorrect
R000193	1	Ayah	incorrect
R000193	2	matn	incorrect
R000194	1	Ayah	incorrect
R000194	2	matn	incorrect
R000195	1	Ayah	incorrect
R000195	2	matn	incorrect
R000197	1	matn	correct
R000197	1	isnad	correct
R000197	1	claimed_source	correct
R000197	2	Ayah	correct
R000197	2	claimed_source	correct
R000200	1	Ayah	incorrect
R000200	2	matn	incorrect
R000201	1	Ayah	incorrect
R000201	2	matn	incorrect
R000202	1	Ayah	incorrect
R000202	2	matn	incorrect
R000203	1	Ayah	correct
R000203	1	claimed_source	correct
R000203	2	Ayah	correct
R000203	2	claimed_source	correct
R000203	3	Ayah	correct
R000203	3	claimed_source	correct
R000203	4	matn	correct
R000203	4	claimed_source	correct
R000203	5	matn	correct
R000203	5	claimed_source	correct
R000203	6	Ayah	correct
R000203	6	claimed_source	correct
R000205	1	Ayah	incorrect
R000205	2	matn	incorrect
R000205	3	Ayah	incorrect
R000205	4	matn	incorrect
R000206	1	Ayah	incorrect
R000206	2	Ayah	incorrect
R000206	3	Ayah	incorrect
R000206	4	Ayah	incorrect
R000207	1	matn	incorrect
R000207	2	Ayah	incorrect
R000207	3	matn	incorrect
R000208	1	Ayah	incorrect
R000208	2	matn	incorrect
R000208	3	matn	incorrect
R000209	1	Ayah	incorrect
R000209	2	matn	incorrect
R000210	1	Ayah	incorrect
R000210	1	claimed_source	incorrect
R000211	1	Ayah	incorrect
R000211	1	claimed_source	incorrect
R000211	2	matn	incorrect
R000212	1	Ayah	correct
R000212	1	claimed_source	incorrect
R000212	2	matn	incorrect
R000212	3	matn	incorrect
R000213	1	Ayah	correct
R000213	1	claimed_source	incorrect
R000213	2	matn	incorrect
R000213	3	Ayah	incorrect
R000213	3	claimed_source	correct
R000213	4	matn	incorrect
R000213	5	Ayah	incorrect
R000214	1	Ayah	incorrect
R000214	2	matn	incorrect
R000215	1	Ayah	incorrect
R000215	2	matn	incorrect
R000216	1	Ayah	incorrect
R000216	2	matn	incorrect
R000217	1	matn	incorrect
R000217	2	Ayah	incorrect
R000217	3	matn	incorrect
R000219	1	Ayah	correct
R000219	1	claimed_source	correct
R000219	2	matn	correct
R000219	2	claimed_source	correct
R000219	3	matn	correct
R000219	3	claimed_source	correct
R000220	1	Ayah	incorrect
R000220	2	Ayah	incorrect
R000220	3	matn	incorrect
R000221	1	Ayah	incorrect
R000221	2	Ayah	incorrect
R000221	3	matn	incorrect
R000225	1	matn	incorrect
R000225	2	matn	incorrect
R000226	1	matn	correct
R000226	1	claimed_source	incorrect
R000226	2	matn	correct
R000226	2	claimed_source	incorrect
R000226	3	Ayah	incorrect
R000226	4	Ayah	incorrect
R000227	1	Ayah	incorrect
R000227	2	Ayah	incorrect
R000227	3	matn	incorrect
R000227	4	matn	incorrect
R000228	1	Ayah	incorrect
R000228	2	Ayah	incorrect
R000228	3	Ayah	incorrect
R000228	4	Ayah	incorrect
R000228	5	matn	incorrect
R000229	1	Ayah	correct
R000229	2	Ayah	correct
R000229	2	claimed_source	incorrect
R000229	3	matn	incorrect
R000229	4	Ayah	correct
R000230	1	Ayah	incorrect
R000231	1	Ayah	incorrect
R000231	2	Ayah	correct
R000231	2	claimed_source	correct
R000231	3	Ayah	correct
R000231	3	claimed_source	correct
R000231	4	Ayah	incorrect
R000231	4	claimed_source	incorrect
R000231	5	matn	correct
R000231	5	isnad	correct
R000231	5	claimed_source	correct
R000231	6	matn	correct
R000231	6	isnad	correct
R000231	6	claimed_source	correct
R000232	1	Ayah	incorrect
R000232	2	Ayah	incorrect
R000232	3	Ayah	incorrect
R000232	4	matn	incorrect
R000232	5	matn	incorrect
R000232	6	matn	incorrect
R000233	1	Ayah	incorrect
R000233	2	matn	incorrect
R000234	1	Ayah	incorrect
R000234	2	matn	incorrect
R000236	1	Ayah	incorrect
R000236	2	matn	incorrect
R000238	1	Ayah	correct
R000238	1	claimed_source	correct
R000238	2	matn	correct
R000238	2	isnad	correct
R000238	2	claimed_source	correct
R000238	3	Ayah	correct
R000238	3	claimed_source	incorrect
R000240	1	Ayah	incorrect
R000240	1	claimed_source	correct
R000240	2	Ayah	incorrect
R000240	3	Ayah	incorrect
R000240	4	matn	incorrect
R000240	5	matn	incorrect
R000241	1	Ayah	correct
R000241	1	claimed_source	incorrect
R000241	2	Ayah	correct
R000241	2	claimed_source	incorrect
R000241	3	matn	incorrect
R000241	4	matn	incorrect
R000241	5	matn	correct
R000241	5	claimed_source	correct
R000242	1	matn	correct
R000242	1	claimed_source	correct
R000242	2	Ayah	correct
R000242	2	claimed_source	correct
R000242	3	matn	correct
R000242	3	claimed_source	correct
R000242	4	matn	incorrect
R000246	1	Ayah	incorrect
R000246	1	claimed_source	incorrect
R000246	2	matn	incorrect
R000248	1	Ayah	incorrect
R000248	2	matn	incorrect
R000248	3	matn	incorrect
R000249	1	Ayah	incorrect
R000249	1	claimed_source	incorrect
R000249	2	matn	incorrect
R000250	1	matn	incorrect
R000250	2	matn	incorrect
R000250	3	Ayah	incorrect
R000250	3	claimed_source	incorrect
R000250	4	Ayah	incorrect
R000250	4	claimed_source	incorrect
R000250	5	Ayah	incorrect
R000250	5	claimed_source	incorrect
R000252	1	Ayah	correct
R000252	1	claimed_source	correct
R000252	2	Ayah	incorrect
R000252	2	claimed_source	correct
R000252	3	matn	incorrect
R000254	1	Ayah	correct
R000254	1	claimed_source	incorrect
R000254	2	matn	incorrect
R000255	1	Ayah	correct
R000255	1	claimed_source	correct
R000255	2	matn	correct
R000255	2	isnad	incorrect
R000255	2	claimed_source	correct
R000255	3	matn	incorrect
R000255	4	matn	incorrect
R000256	1	Ayah	incorrect
R000256	2	matn	incorrect
R000258	1	Ayah	incorrect
R000258	2	matn	incorrect
R000258	3	matn	incorrect
R000258	4	matn	incorrect
R000258	5	Ayah	incorrect
R000258	6	Ayah	incorrect
R000259	1	Ayah	incorrect
R000259	2	matn	incorrect
R000261	1	Ayah	incorrect
R000262	1	Ayah	incorrect
R000262	2	Ayah	incorrect
R000262	3	matn	incorrect
R000262	4	matn	incorrect
R000263	1	Ayah	incorrect
R000263	2	Ayah	incorrect
R000263	3	matn	incorrect
R000264	1	matn	incorrect
R000264	2	matn	incorrect
R000264	3	matn	incorrect
R000265	1	Ayah	incorrect
R000265	2	matn	incorrect
R000266	1	matn	incorrect
R000266	2	Ayah	incorrect
R000269	1	Ayah	incorrect
R000269	2	matn	incorrect
R000272	1	Ayah	correct
R000272	1	claimed_source	incorrect
R000272	2	matn	incorrect
R000273	1	Ayah	incorrect
R000273	1	claimed_source	correct
R000273	2	Ayah	incorrect
R000273	2	claimed_source	incorrect
R000273	3	Ayah	incorrect
R000273	3	claimed_source	correct
R000273	4	Ayah	incorrect
R000273	5	matn	correct
R000273	5	claimed_source	incorrect
R000273	6	matn	incorrect
R000273	7	matn	incorrect
R000275	1	matn	incorrect
R000276	1	Ayah	incorrect
R000276	2	matn	incorrect
R000278	1	Ayah	correct
R000278	1	claimed_source	incorrect
R000278	2	Ayah	incorrect
R000278	2	claimed_source	incorrect
R000278	3	matn	incorrect
R000278	4	Ayah	correct
R000278	4	claimed_source	correct
R000278	5	Ayah	correct
R000278	5	claimed_source	incorrect
R000278	6	matn	correct
R000278	6	claimed_source	incorrect
R000279	1	Ayah	incorrect
R000279	2	matn	incorrect
R000279	3	matn	incorrect
R000279	4	matn	incorrect
R000279	5	Ayah	incorrect
R000281	1	Ayah	correct
R000281	1	claimed_source	incorrect
R000281	2	Ayah	incorrect
R000281	3	matn	incorrect
R000281	4	matn	incorrect
R000283	1	Ayah	incorrect
R000283	2	Ayah	incorrect
R000283	3	matn	incorrect
R000283	4	matn	incorrect
R000284	1	Ayah	correct
R000284	1	claimed_source	correct
R000284	2	matn	correct
R000284	2	claimed_source	incorrect
R000284	3	matn	correct
R000284	3	claimed_source	correct
R000287	1	Ayah	incorrect
R000287	2	matn	incorrect
R000287	3	matn	incorrect
R000290	1	matn	incorrect
R000290	2	matn	incorrect
R000290	3	Ayah	incorrect
R000290	4	Ayah	incorrect
R000291	1	Ayah	correct
R000291	1	claimed_source	incorrect
R000291	2	Ayah	correct
R000291	2	claimed_source	incorrect
R000291	3	matn	incorrect
R000292	1	Ayah	correct
R000292	1	claimed_source	incorrect
R000292	2	matn	correct
R000292	2	claimed_source	correct
R000294	1	Ayah	incorrect
R000294	2	matn	incorrect
R000296	1	Ayah	correct
R000296	1	claimed_source	correct
R000296	2	Ayah	incorrect
R000296	2	claimed_source	correct
R000296	3	Ayah	incorrect
R000296	4	Ayah	incorrect
R000296	5	Ayah	incorrect
R000296	6	matn	incorrect
R000296	7	matn	incorrect
R000296	8	matn	incorrect
R000296	9	matn	incorrect
R000296	10	matn	incorrect
R000297	1	Ayah	incorrect
R000297	2	matn	incorrect
R000299	1	Ayah	incorrect
R000299	1	claimed_source	incorrect
R000299	2	matn	incorrect
R000300	1	Ayah	correct
R000300	1	claimed_source	correct
R000300	2	matn	incorrect
R000300	3	matn	incorrect
R000303	1	Ayah	correct
R000303	1	claimed_source	incorrect
R000303	2	Ayah	correct
R000303	2	claimed_source	incorrect
R000303	3	matn	incorrect
R000303	4	Ayah	correct
R000303	4	claimed_source	correct
R000303	5	matn	correct
R000303	5	claimed_source	correct
R000306	1	matn	incorrect
R000306	2	matn	incorrect
R000306	3	Ayah	incorrect
R000307	1	Ayah	incorrect
R000307	2	matn	incorrect
R000307	3	Ayah	correct
R000307	3	claimed_source	incorrect
R000307	4	Ayah	correct
R000307	4	claimed_source	correct
R000307	5	Ayah	incorrect
R000308	1	Ayah	incorrect
R000308	1	claimed_source	correct
R000308	2	matn	incorrect
R000308	3	matn	incorrect
R000311	1	Ayah	correct
R000311	1	claimed_source	correct
R000311	2	Ayah	incorrect
R000311	3	matn	incorrect
R000311	4	matn	incorrect
R000313	1	Ayah	incorrect
R000313	2	Ayah	incorrect
R000313	3	Ayah	incorrect
R000313	3	claimed_source	correct
R000313	4	matn	correct
R000313	4	claimed_source	incorrect
R000313	5	matn	incorrect
R000314	1	Ayah	correct
R000314	1	claimed_source	correct
R000314	2	matn	incorrect
R000315	1	Ayah	correct
R000315	1	claimed_source	incorrect
R000315	2	matn	correct
R000315	2	claimed_source	incorrect
R000317	1	Ayah	incorrect
R000317	2	matn	incorrect
R000319	1	matn	correct
R000319	1	claimed_source	correct
R000321	1	Ayah	correct
R000321	1	claimed_source	correct
R000321	2	Ayah	correct
R000321	2	claimed_source	incorrect
R000321	3	matn	incorrect
R000321	4	Ayah	correct
R000321	4	claimed_source	correct
R000321	5	matn	incorrect
R000321	6	matn	correct
R000321	6	claimed_source	correct
R000321	7	Ayah	correct
R000321	7	claimed_source	incorrect
R000321	8	Ayah	incorrect
R000321	8	claimed_source	incorrect
R000322	1	Ayah	incorrect
R000322	2	Ayah	incorrect
R000322	3	matn	incorrect
R000322	4	matn	incorrect
R000322	5	matn	incorrect
R000322	6	matn	incorrect
R000325	1	Ayah	incorrect
R000325	1	claimed_source	correct
R000325	2	matn	incorrect
R000325	3	Ayah	incorrect
R000325	4	matn	incorrect
R000326	1	Ayah	incorrect
R000326	2	matn	incorrect
R000326	3	matn	incorrect
R000326	4	Ayah	incorrect
R000326	4	claimed_source	incorrect
R000327	1	Ayah	incorrect
R000328	1	Ayah	incorrect
R000328	1	claimed_source	incorrect
R000328	2	matn	incorrect
R000328	3	Ayah	incorrect
R000328	4	matn	incorrect
R000328	5	matn	incorrect
R000328	6	matn	incorrect
R000328	7	matn	incorrect
R000328	8	Ayah	correct
R000328	8	claimed_source	incorrect
R000328	9	matn	incorrect
R000329	1	Ayah	correct
R000329	1	claimed_source	correct
R000329	2	Ayah	correct
R000329	2	claimed_source	correct
R000329	3	matn	correct
R000329	3	isnad	correct
R000329	3	claimed_source	correct
R000330	1	Ayah	correct
R000330	1	claimed_source	incorrect
R000330	2	matn	correct
R000330	2	claimed_source	correct
R000330	3	Ayah	correct
R000330	3	claimed_source	incorrect
R000330	4	Ayah	correct
R000330	4	claimed_source	correct
R000331	1	Ayah	correct
R000331	1	claimed_source	correct
R000333	1	matn	correct
R000333	1	claimed_source	incorrect
R000333	2	Ayah	correct
R000333	2	claimed_source	incorrect
R000333	3	matn	correct
R000333	4	Ayah	correct
R000335	1	matn	correct
R000335	2	Ayah	incorrect
R000336	1	Ayah	incorrect
R000336	2	matn	incorrect
R000338	1	Ayah	correct
R000338	1	claimed_source	incorrect
R000339	1	Ayah	incorrect
R000339	2	matn	incorrect
R000340	1	Ayah	incorrect
R000340	1	claimed_source	incorrect
R000340	2	matn	incorrect
R000340	3	Ayah	correct
R000340	3	claimed_source	incorrect
R000340	4	Ayah	correct
R000340	4	claimed_source	correct
R000340	5	matn	incorrect
R000340	6	Ayah	correct
R000340	6	claimed_source	incorrect
R000341	1	Ayah	incorrect
R000341	1	claimed_source	correct
R000341	2	matn	correct
