Response_ID	Annotation_ID	Segment_Type	Span_Start	Span_End
R000020	1	Ayah	42	394
R000020	1	claimed_source	29	40
R000020	2	matn	473	560
R000020	2	isnad	419	471
R000020	2	claimed_source	405	417
R000021	1	Ayah	119	176
R000021	1	claimed_source	179	188
R000021	2	matn	284	334
R000021	2	isnad	220	282
R000021	2	claimed_source	346	358
R000022	1	Ayah	339	356
R000022	1	claimed_source	359	371
R000022	2	matn	540	567
R000022	2	claimed_source	570	589
R000022	3	Ayah	819	885
R000022	3	claimed_source	888	899
R000023	1	Ayah	297	400
R000023	1	claimed_source	403	413
R000023	2	Ayah	536	721
R000023	2	claimed_source	724	735
R000023	3	Ayah	862	942
R000023	3	claimed_source	945	954
R000023	4	matn	1122	1155
R000023	4	claimed_source	1158	1162
R000023	5	matn	1306	1347
R000023	5	claimed_source	1350	1358
R000023	6	matn	1518	1616
R000023	6	isnad	1445	1516
R000023	6	claimed_source	1619	1627
R000023	7	matn	1730	1854
R000023	7	isnad	1693	1728
R000023	7	claimed_source	1857	1865
R000024	1	Ayah	107	233
R000024	1	claimed_source	236	247
R000024	2	matn	318	343
R000024	2	claimed_source	346	410
R000025	1	Ayah	91	204
R000025	1	claimed_source	207	217
R000025	2	matn	260	420
R000025	2	isnad	232	258
R000025	2	claimed_source	422	452
R000026	1	Ayah	336	504
R000026	1	claimed_source	507	519
R000026	2	Ayah	954	992
R000026	2	claimed_source	995	1005
R000026	3	matn	1444	1483
R000026	3	claimed_source	1486	1490
R000026	4	Ayah	1871	1965
R000026	4	claimed_source	1968	1979
R000026	5	Ayah	2239	2285
R000026	5	claimed_source	2288	2299
R000026	6	Ayah	2329	2375
R000026	6	claimed_source	2378	2389
R000027	1	Ayah	205	287
R000027	1	claimed_source	290	299
R000027	2	Ayah	342	422
R000027	2	claimed_source	425	442
R000027	3	matn	535	577
R000027	3	claimed_source	580	598
R000027	4	matn	657	727
R000027	4	claimed_source	730	748
R000028	1	Ayah	29	144
R000028	1	claimed_source	7	25
R000028	2	matn	175	253
R000028	2	isnad	157	173
R000028	2	claimed_source	157	171
R000029	1	matn	218	270
R000029	1	claimed_source	273	281
R000030	1	Ayah	116	171
R000030	1	claimed_source	174	185
R000030	2	matn	263	291
R000030	2	isnad	199	261
R000030	2	claimed_source	294	325
R000030	3	Ayah	651	699
R000030	3	claimed_source	702	711
R000030	4	matn	791	822
R000030	4	isnad	725	789
R000030	4	claimed_source	825	858
R000030	5	Ayah	1216	1313
R000030	5	claimed_source	1316	1326
R000030	6	matn	1401	1435
R000030	6	isnad	1340	1399
R000030	6	claimed_source	1438	1465
R000031	1	Ayah	249	360
R000031	1	claimed_source	363	375
R000031	2	Ayah	459	542
R000031	2	claimed_source	545	555
R000031	3	Ayah	770	811
R000031	3	claimed_source	814	824
R000031	4	matn	1848	1916
R000031	4	claimed_source	1920	1938
R000031	5	Ayah	1989	2030
R000031	5	claimed_source	2033	2043
R000032	1	matn	78	91
R000032	1	claimed_source	94	115
R000033	1	Ayah	382	665
R000033	1	claimed_source	668	685
R000033	2	matn	1469	1562
R000033	2	claimed_source	1566	1581
R000033	3	matn	1837	1944
R000033	3	isnad	1752	1835
R000033	3	claimed_source	1948	2005
R000034	1	NoAnnotation	-	-
R000035	1	Ayah	292	405
R000035	1	claimed_source	408	418
R000035	2	matn	473	541
R000035	2	claimed_source	425	436
R000036	1	Ayah	69	89
R000036	1	claimed_source	92	113
R000036	2	matn	153	221
R000036	2	claimed_source	224	233
R000037	1	NoAnnotation	-	-
R000038	1	NoAnnotation	-	-
R000039	1	Ayah	356	822
R000039	1	claimed_source	825	848
R000040	1	NoAnnotation	-	-
R000041	1	NoAnnotation	-	-
R000042	1	Ayah	663	717
R000042	1	claimed_source	728	739
R000042	2	Ayah	1043	1103
R000042	2	claimed_source	1114	1126
R000042	3	matn	1376	1443
R000042	3	isnad	1335	1369
R000042	3	claimed_source	1454	1489
R000043	1	matn	242	285
R000043	1	claimed_source	289	307
R000044	1	Ayah	335	412
R000044	1	claimed_source	415	425
R000044	2	matn	877	961
R000044	2	isnad	846	875
R000044	2	claimed_source	965	975
R000044	3	Ayah	1133	1159
R000044	3	claimed_source	1162	1173
R000045	1	Ayah	450	667
R000045	1	claimed_source	670	681
R000045	2	Ayah	1311	1782
R000045	2	claimed_source	1785	1797
R000045	3	matn	2061	2108
R000045	3	claimed_source	2111	2118
R000046	1	Ayah	117	181
R000046	1	claimed_source	185	195
R000046	2	Ayah	217	316
R000046	2	claimed_source	320	332
R000046	3	matn	387	475
R000046	3	claimed_source	478	497
R000047	1	Ayah	256	347
R000047	1	claimed_source	231	253
R000047	2	matn	456	498
R000047	2	claimed_source	501	519
R000048	1	Ayah	107	194
R000048	1	claimed_source	198	225
R000048	2	matn	288	378
R000048	2	isnad	246	286
R000048	2	claimed_source	382	419
R000049	1	Ayah	154	203
R000049	1	claimed_source	206	215
R000049	2	Ayah	419	532
R000049	2	claimed_source	535	544
R000050	1	Ayah	904	933
R000050	1	claimed_source	936	955
R000050	2	matn	1348	1442
R000050	2	isnad	1312	1346
R000050	2	claimed_source	1446	1494
R000050	3	matn	2018	2075
R000050	3	isnad	1988	2016
R000050	3	claimed_source	2079	2102
R000051	1	Ayah	300	421
R000051	1	claimed_source	432	442
R000051	2	Ayah	461	503
R000051	2	claimed_source	514	524
R000051	3	Ayah	824	865
R000051	3	claimed_source	876	888
R000051	4	matn	916	931
R000051	4	claimed_source	940	992
R000051	5	Ayah	1650	1733
R000051	5	claimed_source	1744	1753
R000051	6	matn	1888	1908
R000051	6	claimed_source	1917	1955
R000053	1	NoAnnotation	-	-
R000054	1	Ayah	168	202
R000054	1	claimed_source	145	155
R000054	2	matn	287	312
R000054	2	isnad	226	285
R000054	2	claimed_source	231	247
R000055	1	Ayah	251	319
R000055	1	claimed_source	323	332
R000055	2	matn	535	731
R000055	2	isnad	470	533
R000055	2	claimed_source	735	807
R000056	1	NoAnnotation	-	-
R000057	1	matn	780	823
R000057	1	claimed_source	827	840
R000058	1	matn	156	191
R000058	1	isnad	127	154
R000059	1	matn	206	296
R000059	1	claimed_source	298	316
R000060	1	Ayah	1201	1242
R000060	1	claimed_source	1245	1256
R000060	2	matn	1550	1666
R000060	2	isnad	1522	1549
R000060	2	claimed_source	1504	1521
R000061	1	matn	0	106
R000061	1	claimed_source	109	142
R000061	2	Ayah	177	329
R000061	2	claimed_source	332	341
R000062	1	Ayah	339	408
R000062	1	claimed_source	411	421
R000062	2	Ayah	716	820
R000062	2	claimed_source	823	833
R000062	3	matn	1399	1517
R000062	3	isnad	1343	1397
R000062	3	claimed_source	1521	1567
R000062	4	matn	1853	2009
R000062	4	isnad	1784	1852
R000062	4	claimed_source	2013	2069
R000063	1	matn	642	690
R000063	1	claimed_source	693	748
R000063	2	matn	824	853
R000063	2	claimed_source	856	909
R000063	3	matn	1181	1229
R000063	3	isnad	1151	1179
R000063	3	claimed_source	1232	1244
R000063	4	matn	1910	1939
R000063	4	claimed_source	1942	1951
R000064	1	Ayah	167	247
R000064	1	claimed_source	259	270
R000064	2	matn	313	336
R000064	2	claimed_source	339	351
R000064	3	matn	594	633
R000064	3	claimed_source	636	654
R000065	1	NoAnnotation	-	-
R000066	1	Ayah	458	851
R000066	1	claimed_source	416	438
R000067	1	NoAnnotation	-	-
R000068	1	NoAnnotation	-	-
R000069	1	Ayah	1029	1104
R000069	1	claimed_source	1115	1127
R000069	2	Ayah	1177	1218
R000069	2	claimed_source	1229	1241
R000069	3	matn	1295	1341
R000069	3	claimed_source	1352	1401
R000071	1	Ayah	619	713
R000071	1	claimed_source	723	746
R000071	2	matn	1114	1182
R000071	2	claimed_source	1192	1211
R000073	1	Ayah	134	386
R000073	1	claimed_source	389	400
R000073	2	matn	708	796
R000073	2	claimed_source	798	810
R000073	3	matn	857	908
R000074	1	Ayah	45	285
R000074	1	claimed_source	289	299
R000074	2	matn	357	434
R000074	2	claimed_source	437	446
R000075	1	matn	299	375
R000075	1	claimed_source	378	387
R000076	1	Ayah	116	177
R000076	1	claimed_source	180	189
R000076	2	matn	232	290
R000076	2	claimed_source	292	336
R000077	1	Ayah	86	183
R000077	1	claimed_source	187	196
R000077	2	matn	369	481
R000077	2	isnad	361	368
R000077	2	claimed_source	484	501
R000078	1	NoAnnotation	-	-
R000079	1	Ayah	291	450
R000079	1	claimed_source	453	464
R000079	2	matn	499	518
R000079	2	claimed_source	521	533
R000080	1	Ayah	223	415
R000080	1	claimed_source	187	209
R000080	2	matn	526	563
R000080	2	isnad	519	523
R000080	2	claimed_source	488	513
R000081	1	matn	146	200
R000081	1	claimed_source	203	221
R000081	2	matn	381	403
R000081	2	claimed_source	406	415
R000081	3	Ayah	583	681
R000081	3	claimed_source	684	708
R000082	1	Ayah	159	204
R000082	1	claimed_source	208	236
R000082	2	Ayah	296	395
R000082	2	claimed_source	399	427
R000082	3	Ayah	488	541
R000082	3	claimed_source	545	573
R000082	4	Ayah	625	691
R000082	4	claimed_source	695	723
R000082	5	Ayah	794	927
R000082	5	claimed_source	931	959
R000083	1	Ayah	102	229
R000083	1	claimed_source	49	68
R000083	2	matn	301	353
R000083	2	isnad	271	299
R000083	2	claimed_source	248	252
R000085	1	Ayah	146	363
R000085	1	claimed_source	127	142
R000085	2	matn	458	509
R000085	2	isnad	394	456
R000085	2	claimed_source	378	390
R000086	1	Ayah	375	506
R000086	1	claimed_source	509	525
R000086	2	matn	673	780
R000086	2	isnad	634	671
R000086	2	claimed_source	783	806
R000087	1	matn	181	202
R000087	1	isnad	100	179
R000087	1	claimed_source	205	237
R000087	2	matn	317	350
R000087	2	isnad	244	315
R000087	2	claimed_source	353	385
R000087	3	matn	471	956
R000087	3	isnad	392	469
R000087	3	claimed_source	959	972
R000087	4	Ayah	1200	1229
R000087	4	claimed_source	1240	1251
R000088	1	Ayah	518	572
R000088	1	claimed_source	575	586
R000088	2	matn	605	645
R000088	2	claimed_source	648	666
R000091	1	Ayah	614	690
R000091	1	claimed_source	693	710
R000091	2	matn	828	875
R000091	2	claimed_source	878	890
R000092	1	NoAnnotation	-	-
R000093	1	Ayah	240	268
R000093	1	claimed_source	271	293
R000093	2	Ayah	296	339
R000093	2	claimed_source	342	361
R000093	3	Ayah	364	438
R000093	3	claimed_source	441	459
R000093	4	matn	518	601
R000093	4	isnad	483	516
R000093	4	claimed_source	604	642
R000093	5	matn	716	744
R000093	5	isnad	646	714
R000093	5	claimed_source	748	763
R000093	6	matn	840	914
R000093	6	isnad	767	838
R000093	6	claimed_source	918	956
R000093	7	matn	1025	1099
R000093	7	isnad	960	1023
R000093	7	claimed_source	1103	1118
R000094	1	Ayah	175	224
R000094	1	claimed_source	227	243
R000094	2	matn	310	378
R000094	2	isnad	266	308
R000094	2	claimed_source	382	390
R000095	1	Ayah	46	242
R000095	1	claimed_source	245	255
R000095	2	matn	436	519
R000095	2	claimed_source	522	548
R000096	1	NoAnnotation	-	-
R000100	1	NoAnnotation	-	-
R000101	1	Ayah	140	295
R000101	1	claimed_source	306	317
R000101	2	matn	416	503
R000101	2	isnad	347	414
R000101	2	claimed_source	347	355
R000101	3	matn	663	825
R000101	3	isnad	585	661
R000101	3	claimed_source	585	602
R000101	4	matn	985	1106
R000101	4	claimed_source	1110	1119
R000102	1	Ayah	197	263
R000102	1	claimed_source	268	278
R000102	2	Ayah	372	438
R000102	2	claimed_source	443	456
R000102	3	Ayah	508	589
R000102	3	claimed_source	594	606
R000102	4	Ayah	714	737
R000102	4	claimed_source	742	750
R000102	5	Ayah	791	850
R000102	5	claimed_source	855	869
R000102	6	Ayah	931	1045
R000102	6	claimed_source	1050	1064
R000102	7	Ayah	1166	1278
R000102	7	claimed_source	1283	1295
R000104	1	matn	308	376
R000104	1	claimed_source	254	272
R000104	2	Ayah	559	675
R000104	2	claimed_source	534	556
R000105	1	Ayah	362	825
R000105	1	claimed_source	332	354
R000105	2	Ayah	1064	1098
R000105	2	claimed_source	1033	1056
R000105	3	matn	1329	1401
R000105	3	isnad	1294	1322
R000105	3	claimed_source	1274	1321
R000105	4	matn	1631	1711
R000105	4	isnad	1596	1624
R000105	4	claimed_source	1579	1623
R000106	1	Ayah	267	308
R000106	1	claimed_source	313	325
R000106	2	Ayah	597	652
R000106	2	claimed_source	657	669
R000106	3	matn	970	1011
R000106	3	claimed_source	1016	1028
R000106	4	Ayah	1366	1539
R000106	4	claimed_source	1544	1553
R000106	5	matn	1789	1835
R000106	5	claimed_source	1840	1849
R000107	1	Ayah	110	149
R000107	1	claimed_source	152	163
R000107	2	matn	185	239
R000107	2	claimed_source	242	260
R000107	3	matn	264	395
R000107	3	claimed_source	398	416
R000107	4	Ayah	508	625
R000107	4	claimed_source	628	640
R000111	1	matn	59	84
R000111	2	Ayah	1045	1062
R000111	2	claimed_source	1067	1077
R000111	3	Ayah	1146	1183
R000111	3	claimed_source	1188	1199
R000111	4	Ayah	1237	1266
R000111	4	claimed_source	1271	1278
R000111	5	matn	1363	1374
R000111	5	claimed_source	1379	1431
R000111	6	matn	1468	1542
R000111	6	claimed_source	1547	1591
R000111	7	matn	1634	1755
R000111	7	claimed_source	1760	1791
R000112	1	Ayah	173	730
R000112	1	claimed_source	159	170
R000112	2	matn	782	912
R000112	2	isnad	742	780
R000112	2	claimed_source	768	774
R000113	1	Ayah	81	155
R000113	1	claimed_source	157	180
R000113	2	Ayah	186	287
R000113	2	claimed_source	289	311
R000113	3	Ayah	334	380
R000113	3	claimed_source	382	401
R000113	4	Ayah	407	459
R000113	4	claimed_source	461	480
R000113	5	matn	651	753
R000113	5	isnad	511	650
R000113	5	claimed_source	755	773
R000113	6	matn	942	974
R000113	6	isnad	779	941
R000113	6	claimed_source	976	997
R000113	7	matn	1166	1245
R000113	7	isnad	1003	1165
R000113	7	claimed_source	1247	1265
R000114	1	matn	582	776
R000114	1	isnad	518	580
R000114	1	claimed_source	779	786
R000115	1	matn	428	611
R000115	1	claimed_source	629	692
R000115	2	Ayah	775	970
R000115	2	claimed_source	975	986
R000117	1	Ayah	155	261
R000117	1	claimed_source	264	273
R000117	2	Ayah	553	696
R000117	2	claimed_source	699	708
R000118	1	matn	142	185
R000118	1	claimed_source	189	207
R000118	2	Ayah	355	446
R000118	2	claimed_source	457	467
R000119	1	matn	268	329
R000119	1	isnad	195	266
R000119	1	claimed_source	231	258
R000119	2	Ayah	548	590
R000119	2	claimed_source	593	609
R000119	3	Ayah	637	701
R000119	3	claimed_source	704	719
R000119	4	matn	884	939
R000119	4	isnad	825	881
R000119	4	claimed_source	849	874
R000120	1	Ayah	165	230
R000120	1	claimed_source	233	244
R000120	2	matn	286	310
R000120	2	claimed_source	313	326
R000120	3	Ayah	343	398
R000120	3	claimed_source	401	412
R000120	4	matn	453	476
R000120	4	claimed_source	479	486
R000120	5	matn	515	538
R000120	5	isnad	499	513
R000121	1	Ayah	54	126
R000121	1	claimed_source	18	41
R000121	2	matn	206	405
R000121	2	isnad	139	204
R000121	2	claimed_source	409	422
R000121	3	matn	576	713
R000121	3	claimed_source	717	729
R000121	4	Ayah	789	958
R000121	4	claimed_source	754	776
R000122	1	Ayah	308	392
R000122	1	claimed_source	280	303
R000122	2	Ayah	427	548
R000122	2	claimed_source	400	422
R000122	3	matn	669	763
R000122	3	isnad	638	667
R000122	3	claimed_source	620	637
R000122	4	matn	885	994
R000122	4	isnad	854	883
R000122	4	claimed_source	845	853
R000123	1	Ayah	242	335
R000123	1	claimed_source	338	360
R000123	2	matn	498	517
R000123	2	claimed_source	520	532
R000124	1	Ayah	2169	2275
R000124	1	claimed_source	2278	2294
R000124	2	Ayah	2303	2381
R000124	2	claimed_source	2384	2398
R000124	3	matn	2496	2570
R000124	3	isnad	2429	2492
R000124	3	claimed_source	2573	2610
R000124	4	matn	2683	2901
R000124	4	isnad	2616	2679
R000124	4	claimed_source	2904	2940
R000125	1	Ayah	636	731
R000125	1	claimed_source	734	758
R000125	2	Ayah	763	886
R000125	2	claimed_source	889	911
R000125	3	matn	935	1091
R000125	3	claimed_source	1094	1116
R000125	4	matn	1121	1167
R000125	4	claimed_source	1170	1194
R000126	1	NoAnnotation	-	-
R000127	1	Ayah	802	1012
R000127	1	claimed_source	1015	1025
R000128	1	Ayah	315	917
R000128	1	claimed_source	920	941
R000128	2	matn	1199	1563
R000128	2	isnad	1153	1197
R000128	2	claimed_source	1566	1610
R000131	1	Ayah	1775	1890
R000131	1	claimed_source	1893	1900
R000131	2	matn	1957	2233
R000131	2	claimed_source	2236	2243
R000132	1	Ayah	76	145
R000132	1	claimed_source	148	169
R000132	2	matn	330	484
R000132	2	isnad	280	328
R000132	2	claimed_source	251	277
R000133	1	matn	358	396
R000133	1	claimed_source	400	422
R000135	1	Ayah	392	482
R000135	1	claimed_source	485	497
R000135	2	matn	538	767
R000135	2	claimed_source	25	29
R000136	1	matn	221	251
R000136	2	Ayah	288	345
R000136	2	claimed_source	348	364
R000136	3	matn	435	488
R000136	3	claimed_source	491	509
R000136	4	matn	634	670
R000136	4	claimed_source	673	685
R000136	5	matn	783	827
R000136	5	isnad	702	782
R000136	5	claimed_source	830	843
R000137	1	NoAnnotation	-	-
R000138	1	Ayah	74	304
R000138	1	claimed_source	307	315
R000138	2	matn	382	442
R000138	2	claimed_source	444	453
R000140	1	Ayah	107	164
R000140	1	claimed_source	167	179
R000140	2	matn	384	459
R000140	2	claimed_source	330	350
R000142	1	Ayah	189	238
R000142	1	claimed_source	241	251
R000142	2	Ayah	617	674
R000142	2	claimed_source	677	686
R000142	3	matn	992	1095
R000142	3	isnad	934	990
R000142	3	claimed_source	1099	1118
R000142	4	Ayah	1324	1481
R000142	4	claimed_source	1484	1497
R000143	1	matn	137	201
R000143	1	isnad	85	135
R000143	1	claimed_source	204	222
R000143	2	matn	337	356
R000143	2	claimed_source	359	391
R000143	3	Ayah	515	557
R000143	3	claimed_source	568	579
R000144	1	Ayah	109	172
R000144	1	claimed_source	175	186
R000144	2	matn	277	309
R000144	2	isnad	213	275
R000144	2	claimed_source	200	212
R000144	3	matn	393	424
R000144	3	isnad	322	391
R000144	3	claimed_source	312	321
R000145	1	Ayah	154	174
R000145	1	claimed_source	132	150
R000145	2	Ayah	180	200
R000145	3	Ayah	249	290
R000145	3	claimed_source	229	245
R000145	4	Ayah	296	337
R000145	5	Ayah	362	412
R000145	5	claimed_source	343	358
R000145	6	Ayah	418	468
R000145	7	matn	575	622
R000145	7	isnad	533	570
R000145	7	claimed_source	510	530
R000145	8	matn	628	675
R000146	1	Ayah	259	373
R000146	1	claimed_source	236	256
R000146	2	matn	465	521
R000146	2	isnad	400	463
R000146	2	claimed_source	524	542
R000146	3	Ayah	676	998
R000146	3	claimed_source	654	673
R000146	4	matn	1054	1216
R000146	4	isnad	1025	1053
R000146	4	claimed_source	1218	1227
R000147	1	Ayah	175	234
R000147	1	claimed_source	241	253
R000147	2	matn	441	596
R000147	2	isnad	387	436
R000147	2	claimed_source	603	621
R000148	1	NoAnnotation	-	-
R000149	1	Ayah	173	243
R000149	1	claimed_source	248	258
R000149	2	Ayah	327	368
R000149	2	claimed_source	373	384
R000149	3	Ayah	453	500
R000149	3	claimed_source	505	513
R000149	4	Ayah	603	690
R000149	4	claimed_source	695	705
R000149	5	matn	825	967
R000149	5	claimed_source	973	1019
R000149	6	matn	1085	1386
R000149	6	claimed_source	1392	1417
R000149	7	matn	1472	1521
R000149	7	claimed_source	1527	1577
R000150	1	Ayah	276	331
R000150	1	claimed_source	238	262
R000150	2	matn	377	413
R000150	2	claimed_source	417	435
R000150	3	Ayah	822	896
R000150	3	claimed_source	785	808
R000150	4	matn	1325	1360
R000150	4	claimed_source	1364	1382
R000150	5	Ayah	1520	1593
R000150	5	claimed_source	1486	1506
R000151	1	Ayah	9	19
R000151	1	claimed_source	387	407
R000151	2	matn	512	690
R000151	2	isnad	474	508
R000151	2	claimed_source	695	734
R000152	1	Ayah	447	527
R000152	1	claimed_source	530	540
R000152	2	Ayah	655	678
R000152	2	claimed_source	681	689
R000152	3	Ayah	813	991
R000152	3	claimed_source	994	1002
R000152	4	matn	1240	1280
R000152	4	isnad	1200	1238
R000152	4	claimed_source	1284	1331
R000154	1	NoAnnotation	-	-
R000155	1	matn	1301	1342
R000155	1	claimed_source	1345	1354
R000155	2	Ayah	1416	1576
R000155	2	claimed_source	1579	1587
R000156	1	Ayah	41	284
R000156	1	claimed_source	287	298
R000156	2	Ayah	363	398
R000156	2	claimed_source	401	409
R000157	1	Ayah	553	580
R000157	1	claimed_source	588	607
R000157	2	Ayah	614	681
R000157	2	claimed_source	689	707
R000157	3	matn	1366	1453
R000157	3	isnad	1326	1364
R000157	3	claimed_source	1462	1481
R000158	1	Ayah	589	635
R000158	1	claimed_source	648	659
R000158	2	matn	822	875
R000158	2	claimed_source	880	889
R000159	1	Ayah	89	130
R000159	1	claimed_source	134	153
R000159	2	matn	377	436
R000159	2	claimed_source	440	475
R000160	1	Ayah	34	135
R000160	1	claimed_source	137	157
R000160	2	matn	228	263
R000160	2	isnad	162	226
R000160	2	claimed_source	266	279
R000161	1	Ayah	160	193
R000161	1	claimed_source	196	205
R000161	2	matn	459	490
R000161	2	claimed_source	493	507
R000162	1	Ayah	310	463
R000162	1	claimed_source	466	478
R000162	2	Ayah	691	833
R000162	2	claimed_source	836	845
R000162	3	Ayah	1130	1302
R000162	3	claimed_source	1305	1316
R000162	4	matn	1503	1520
R000162	4	claimed_source	1523	1531
R000162	5	Ayah	1654	1721
R000162	5	claimed_source	1724	1737
R000162	6	matn	1951	2059
R000162	6	claimed_source	1505	1509
R000163	1	Ayah	425	755
R000163	1	claimed_source	758	769
R000163	2	Ayah	785	843
R000163	2	claimed_source	846	857
R000163	3	matn	900	930
R000163	3	claimed_source	934	952
R000164	1	matn	1236	1484
R000164	2	Ayah	1658	1874
R000164	2	claimed_source	1877	1889
R000164	3	matn	2266	2442
R000164	3	claimed_source	2446	2488
R000165	1	NoAnnotation	-	-
R000166	1	Ayah	561	627
R000166	1	claimed_source	638	650
R000166	2	matn	693	721
R000166	2	claimed_source	725	734
R000168	1	Ayah	131	189
R000168	1	claimed_source	192	212
R000168	2	matn	459	494
R000168	2	claimed_source	497	515
R000169	1	matn	92	259
R000169	1	claimed_source	262	281
R000170	1	matn	119	233
R000170	1	isnad	97	117
R000170	1	claimed_source	237	269
R000170	2	matn	321	430
R000170	2	isnad	274	319
R000170	2	claimed_source	434	456
R000170	3	matn	519	607
R000170	3	isnad	464	517
R000170	3	claimed_source	611	649
R000171	1	Ayah	15	90
R000171	1	claimed_source	95	115
R000171	2	Ayah	349	426
R000171	2	claimed_source	326	346
R000171	3	matn	536	588
R000171	3	isnad	466	534
R000171	3	claimed_source	441	465
R000172	1	Ayah	46	81
R000172	1	claimed_source	84	96
R000172	2	matn	170	242
R000172	2	claimed_source	244	253
R000173	1	matn	80	311
R000174	1	NoAnnotation	-	-
R000175	1	matn	166	209
R000175	1	claimed_source	212	221
R000175	2	matn	247	283
R000175	2	claimed_source	286	298
R000175	3	matn	329	354
R000175	3	claimed_source	357	369
R000175	4	Ayah	386	441
R000175	4	claimed_source	444	460
R000176	1	Ayah	241	370
R000176	1	claimed_source	173	205
R000178	1	matn	99	170
R000178	1	claimed_source	172	181
R000178	2	matn	218	252
R000178	2	claimed_source	254	266
R000179	1	Ayah	1141	1197
R000179	1	claimed_source	1105	1127
R000179	2	matn	1294	1387
R000179	2	claimed_source	1390	1399
R000182	1	Ayah	799	950
R000182	1	claimed_source	953	967
R000182	2	Ayah	972	1007
R000182	2	claimed_source	1010	1024
R000182	3	matn	1119	1288
R000182	3	claimed_source	1292	1304
R000182	4	matn	1345	1419
R000182	4	claimed_source	1423	1435
R000183	1	Ayah	70	257
R000183	1	claimed_source	44	61
R000183	2	matn	362	394
R000183	2	claimed_source	337	352
R000183	3	matn	468	762
R000183	3	claimed_source	440	458
R000184	1	Ayah	369	446
R000184	1	claimed_source	332	350
R000184	2	matn	512	613
R000184	2	claimed_source	486	504
R000185	1	Ayah	110	590
R000185	1	claimed_source	593	607
R000185	2	matn	638	693
R000185	2	claimed_source	695	735
R000189	1	Ayah	156	351
R000189	1	claimed_source	132	153
R000189	2	matn	417	485
R000189	2	claimed_source	488	506
R000190	1	Ayah	171	216
R000190	1	claimed_source	219	233
R000190	2	Ayah	238	332
R000190	2	claimed_source	335	353
R000190	3	matn	444	497
R000190	3	claimed_source	502	546
R000190	4	matn	611	673
R000190	4	claimed_source	678	737
R000192	1	Ayah	164	229
R000192	1	claimed_source	148	158
R000192	2	Ayah	257	349
R000192	2	claimed_source	238	252
R000192	3	matn	423	474
R000192	3	isnad	390	420
R000192	3	claimed_source	376	389
R000193	1	Ayah	131	208
R000193	1	claimed_source	212	240
R000193	2	matn	604	765
R000193	2	isnad	580	602
R000193	2	claimed_source	769	791
R000194	1	Ayah	66	287
R000194	1	claimed_source	290	300
R000194	2	matn	340	371
R000194	2	claimed_source	373	382
R000195	1	Ayah	360	516
R000195	1	claimed_source	521	542
R000195	2	matn	786	904
R000195	2	isnad	695	784
R000196	1	NoAnnotation	-	-
R000197	1	matn	256	312
R000197	1	isnad	219	254
R000197	1	claimed_source	315	324
R000197	2	Ayah	449	479
R000197	2	claimed_source	482	493
R000198	1	NoAnnotation	-	-
R000199	1	NoAnnotation	-	-
R000200	1	Ayah	36	72
R000200	1	claimed_source	8	29
R000200	2	matn	285	324
R000200	2	isnad	215	283
